sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,peak_x_um,peak_y_um,peak_intensity_counts,total_power_mW
98,2026-06-25T15:37:21.527641,4.0,4.01,-633.0987392130191,98.63610242988216,-393.44998836517334,-1431.8999576568604,255.0,0.0008353610794501526
99,2026-06-25T15:37:23.345129,2.0,4.01,-637.0929834796698,99.04788830637699,-393.44998836517334,-1431.8999576568604,255.0,0.0008353449370358873
100,2026-06-25T15:37:25.043151,0.0,0.0,-641.3088677544147,99.06206066923914,-348.2999897003174,-1412.549958229065,255.0,0.0008354084078717398
101,2026-06-25T15:37:26.642299,2.0,0.0,-641.364769852371,98.98096325952793,-393.44998836517334,-1431.8999576568604,255.0,0.0008353442032971962
102,2026-06-25T15:37:28.195233,4.0,4.01,-639.1487634481746,98.89947217307054,-393.44998836517334,-1431.8999576568604,255.0,0.0008353764884093079
103,2026-06-25T15:37:29.934763,6.0,4.01,-636.7402491151006,98.89081128465477,-393.44998836517334,-1431.8999576568604,255.0,0.0008354333572662692
104,2026-06-25T15:37:31.534220,8.0,6.01,-634.4675532594556,98.82309888431337,-715.9499788284302,-1406.0999584197998,255.0,0.0008353764884093079
105,2026-06-25T15:37:33.273505,10.0,8.01,-631.7405544387293,98.59791578550357,-348.2999897003174,-1425.4499578475952,255.0,0.0008353398008785832
106,2026-06-25T15:37:34.952212,12.0,12.01,-629.0907162602525,98.8077454912127,-393.44998836517334,-1431.8999576568604,255.0,0.0008353907969830265
107,2026-06-25T15:37:36.571807,14.0,14.01,-626.2369535272592,98.6801942254533,-715.9499788284302,-1406.0999584197998,255.0,0.0008354025375342515
108,2026-06-25T15:37:38.189390,16.0,16.01,-623.3587828360032,98.94041455467232,-715.9499788284302,-1406.0999584197998,255.0,0.0008353786897123892
109,2026-06-25T15:37:41.313377,18.0,18.01,-620.4601409539464,98.75853589794133,-715.9499788284302,-1406.0999584197998,255.0,0.0008352649633118978
110,2026-06-25T15:37:44.121594,20.0,18.01,-617.4044220501673,98.77349561429583,-599.8499822616577,-1406.0999584197998,255.0,0.0008354469329851289
111,2026-06-25T15:37:46.912893,22.0,20.01,-614.179815822281,98.25266127911163,-715.9499788284302,-1406.0999584197998,255.0,0.0008354795889961898
112,2026-06-25T15:37:50.599087,24.0,22.01,-611.3382570684189,98.99237988516688,-599.8499822616577,-1406.0999584197998,255.0,0.0008354073071803185
